"any","zona","dat","via","pk","nommun","nomcom","nomdem","f_morts","f_ferits_greus","f_ferits_lleus","f_victimes","f_unitats_implicades","f_vianants_implicades","f_bicicletes_implicades","f_ciclomotors_implicades","f_motocicletes_implicades","f_veh_lleugers_implicades","f_veh_pesants_implicades","f_altres_unit_implicades","f_unit_desc_implicades","c_velocitat_via","d_acc_amb_fuga","d_boira","d_caract_entorn","d_carril_especial","d_circulacio_mesures_esp","d_climatologia","d_func_esp_via","d_gravetat","d_influit_boira","d_influit_caract_entorn","d_influit_circulacio","d_influit_estat_clima","d_influit_inten_vent","d_influit_lluminositat","d_influit_mesu_esp","d_influit_obj_calcada","d_influit_solcs_rases","d_influit_visibilitat","d_inter_seccio","d_limit_velocitat","d_lluminositat","d_regulacio_prioritat","d_sentits_via","d_subtipus_accident","d_subtipus_tram","d_subzona","d_superficie","d_tipus_via","d_titularitat_via","d_tracat_altimetric","d_vent","grupdialab","hor","gruphor","tipacc","tipdia"
"2010","Carretera","2010-06-09T12:55:00.000","SE","999999","ALCANAR","Montsia","Tarragona","0","1","0","1","2","1","0","0","0","1","0","0","0","40","No","No n'hi ha","Terraplé","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Arribant o eixint intersecció fins 50m","Senyal velocitat","De dia, dia clar","Sols norma prioritat de pas","Doble sentit","Atropellament","Intersecció en T o Y","Carretera","Sec i net","Altres","Estatal","Pla","Calma, vent molt suau","Feiners","1255","Matí","Atropellament","dill-dij"
"2010","Zona urbana","2010-06-17T11:17:00.000","SE","999999","LLEIDA","Segria","Lleida","0","1","0","1","2","1","0","0","0","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","1117","Matí","Atropellament","dill-dij"
"2010","Zona urbana","2010-09-10T11:40:00.000","SE","999999","FIGUERES","Alt Emporda","Girona","0","1","0","1","2","1","0","0","0","1","0","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Un sol sentit","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","114","Matí","Atropellament","div"
"2010","Carretera","2010-10-03T16:20:00.000","SE","999999","BANYOLES","Pla de l'Estany","Girona","0","1","0","1","2","0","0","1","0","1","0","0","0","40","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De dia, dia clar","Senyal Stop o cedeix pas","Doble sentit","Envestida (frontal lateral)","Intersecció en T o Y","Carretera","Sec i net","Altres","Municipal","Rampa o pendent","Calma, vent molt suau","CapDeSetmana","162","Tarda","Col.lisió de vehicles en marxa","dg"
"2010","Carretera","2010-08-25T08:50:00.000","C-66","205","PERA, LA","Baix Emporda","Girona","0","1","0","1","2","0","0","0","1","1","0","0","0","100","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Fregament o col·lisió lateral","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","Feiners","85","Matí","Col.lisió de vehicles en marxa","dill-dij"
"2010","Zona urbana","2010-04-16T12:33:00.000","SE","999999","OLERDOLA","Alt Penedes","Barcelona","0","1","0","1","1","0","0","0","0","1","0","0","0","30","No","No n'hi ha","Desmunt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Altres","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","1233","Matí","Altres","div"
"2010","Carretera","2010-06-04T01:24:00.000","SE","999999","SABADELL","Valles Occidental","Barcelona","0","2","0","2","1","0","0","0","0","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Xoc contra objecte/obstacle sense sortida prèvia de via","NA","Carretera","Sec i net","Altres","NA","NA","Calma, vent molt suau","Feiners","124","Nit","Col.lisió d'un vehicle contra un obstacle de la calcada","div"
"2010","Zona urbana","2010-10-19T19:10:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","0","1","2","3","2","1","0","0","0","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","Alba o capvespre","Semàfor","Doble sentit","Atropellament","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","191","Tarda","Atropellament","dill-dij"
"2010","Zona urbana","2010-07-02T13:20:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","1","0","1","2","2","1","0","0","0","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols marques viàries (inclou pas vianants)","Doble sentit","Atropellament","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","132","Matí","Atropellament","div"
"2010","Carretera","2010-05-03T18:48:00.000","C-155","43","POLINYA","Valles Occidental","Barcelona","0","1","0","1","2","0","0","1","0","1","0","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Pluja forta","Sense funció especial","Accident greu","No","No","No","Si","No","No","No","No","No","No","En secció","Genérica via","De dia, dia fosc","NA","Doble sentit","Col·lisió frontal","NA","Carretera","Mullat","Carretera convencional","Autonòmica","Rampa o pendent","Vent moderat","Feiners","1848","Tarda","Col.lisió de vehicles en marxa","dill-dij"
